Gene Accession Number,1,2,3,4,5,6,7,8,9,10,11,12,13,…
U19906_at,105,72,120,120,92,69,42,161,49,22,88,34,42,…
U19948_at,379,348,476,318,255,245,428,629,346,336,343,235,183,…
U19977_at,620,369,731,531,360,382,614,284,439,392,428,162,468,…
U20158_at,394,923,985,212,323,576,194,245,820,204,344,204,352,…
U20230_at,-338,-831,-213,-219,-238,-375,-567,-107,-841,-485,-691,-166,-266,…
U20240_at,85,576,59,94,210,-24,3,-5,43,131,148,-11,91,…
U20285_at,1222,1624,1909,1349,1438,1292,1527,1553,1802,1329,1385,626,1393,…
U20325_at,541,306,970,424,341,650,423,1097,632,477,265,396,364,…
U20350_at,585,135,425,177,132,280,270,562,1154,235,22,15,143,…
U20362_at,-99,-60,-51,-85,23,-32,-23,26,14,-31,-56,-58,-50,…
U20391_rna6_at,-644,-1689,-1513,-743,-341,-803,-872,-1074,-1313,-649,-731,-556,-816,…
U20428_at,533,477,547,491,343,352,594,715,423,384,305,284,318,…
U20530_at,62,114,122,-33,127,58,-3,226,210,35,122,10,73,…
U20582_at,404,221,403,381,242,216,458,607,241,211,230,204,164,…
U20647_at,171,52,658,488,275,464,487,796,689,400,564,317,82,…
U20648_at,24,63,180,51,31,24,-1,167,108,91,88,77,79,…
U20657_at,450,616,662,702,652,453,342,647,554,350,389,186,333,…
U20758_rna1_at,-54,34,-58,-14,46,56,3,160,75,6,26,12,-19,…
U20860_at,-84,-21,-116,-12,4,5,-67,-121,-68,-50,-51,-57,-21,…
U20908_at,638,1006,788,887,677,670,507,712,367,440,494,392,491,…
U20979_at,485,684,825,435,364,270,0,128,753,242,599,214,650,…
U20980_at,-435,-523,-287,-342,-206,-208,-225,-469,-178,-138,-221,-329,-65,…
U20998_at,1753,1602,2761,1486,2298,1013,898,1586,2334,878,2016,426,2151,…
U21049_at,156,-166,90,3,-3,-12,159,329,69,-123,11,-14,-94,…
U21051_rna1_at,-49,-66,0,-43,-26,-176,-20,92,-54,54,2,-110,-73,…
U21090_at,240,178,-86,45,773,432,-154,-358,789,475,244,321,457,…
U21128_at,-3,-43,21,-2,-20,0,0,41,35,16,-10,47,16,…
U21551_at,140,111,253,167,608,218,173,230,245,117,66,60,96,…
U21858_at,425,400,632,379,630,309,379,304,577,516,790,235,395,…
U21931_at,717,747,1299,935,536,846,1443,1143,706,952,363,640,318,…
U21936_at,135,7,75,134,42,122,11,88,25,65,36,33,56,…
U21943_at,21,98,-33,-9,44,83,11,103,67,32,40,58,20,…
U22055_at,1646,1849,1336,1162,2253,926,1381,1227,3929,1678,2886,728,1633,…
U22233_at,87,48,7,-12,84,51,53,68,70,42,32,54,-13,…
U22377_at,209,406,118,65,203,104,75,53,184,222,427,172,277,…
U22398_at,157,163,128,-94,141,10,-20,59,54,82,70,-8,88,…
U22526_at,235,374,-9,-52,272,106,-5,-1,462,253,316,-126,279,…
U22662_at,-562,-125,-359,-304,-92,-179,-562,-161,-232,-166,-227,-90,-62,…
U22897_at,1078,338,782,721,1084,300,599,553,592,405,378,192,1295,…
U22963_at,460,263,474,643,414,298,583,451,449,483,277,221,309,…
U23028_at,99,221,276,199,390,177,510,418,142,147,180,11,287,…
U23070_at,-38,-30,-102,-4,-45,-65,-85,17,-73,-73,-84,61,-48,…
U23143_at,395,372,528,435,453,355,551,479,570,455,380,159,278,…
U23752_at,-80,-65,-21,-31,-39,-78,-57,-98,-67,-78,-115,-57,-61,…
U23803_at,647,369,666,815,293,346,409,679,947,495,955,34,847,…
U23942_at,107,65,15,90,202,-8,23,-8,303,62,175,51,138,…
U23946_at,565,217,532,520,563,284,626,692,288,125,623,227,242,…
U24105_at,3163,3504,2991,2103,2698,3065,1245,5037,3076,1665,2375,1769,1960,…
U24152_at,955,473,1259,896,605,819,341,940,1002,722,708,416,464,…
U24166_at,2320,1991,1711,1500,1825,983,1273,1851,2168,1007,2909,701,1810,…
U24169_at,-113,-1027,-283,95,789,-215,-16,-305,138,-102,-146,-337,167,…
U24186_at,167,17,364,207,124,144,171,350,190,88,186,-8,1,…
U24266_at,119,119,192,160,265,101,90,328,124,95,84,25,156,…
U24576_at,91,-77,-165,-44,289,-1,819,-43,24,-31,-47,-10,157,…
U24577_at,-11,-45,-76,-134,-1,-48,-75,-4,-33,-13,-25,-51,26,…
U24704_at,463,570,659,377,748,540,230,209,959,611,444,221,545,…
U25029_at,251,143,177,189,172,177,502,551,64,56,357,61,248,…
U25041_at,3,-186,-23,-219,-114,-160,-208,-325,-127,-194,-8,-24,-115,…
U25128_at,90,65,157,11,50,23,80,89,68,39,28,93,53,…
U25138_at,358,-165,-118,-701,139,-391,-381,-1106,-199,-1,-293,-194,78,…
U25165_at,465,503,682,589,930,344,549,460,1414,817,684,372,710,…
U25182_at,156,249,51,157,236,117,36,-40,213,171,161,149,678,…
U25265_at,720,688,1067,226,346,138,341,797,11,121,287,-86,470,…
U25433_at,-101,36,-166,122,20,12,241,-77,45,109,88,40,-66,…
U25435_at,509,624,677,404,430,474,425,329,774,327,823,15,510,…
U25750_at,688,555,1074,759,503,563,609,848,755,504,602,278,535,…
U25789_at,6556,10632,7688,7736,9239,4850,4822,5905,10185,7775,9182,5643,6032,…
U25801_at,-248,-148,164,76,41,142,255,245,-3,88,-42,87,88,…
U25826_at,-174,-224,-138,-213,14,-183,-391,-92,-25,-31,-103,-231,-24,…
U25849_at,347,1332,479,503,930,296,433,179,1161,925,1501,61,562,…
U25956_at,97,845,610,-219,59,362,-84,-34,873,115,-76,-231,142,…
U25997_at,-79,-28,-175,-115,-111,-72,-40,-161,-109,-47,-76,-109,-70,…
U26032_at,141,37,36,35,150,42,129,35,167,55,99,35,180,…
U26174_at,34,17,-30,3,74,-48,-58,70,47,51,-57,84,69,…
U26398_at,-111,288,226,271,-40,280,119,187,156,109,299,182,52,…
U26403_at,68,94,84,42,172,17,43,154,261,32,155,27,171,…
U26591_at,-148,-444,-341,-281,111,-606,-142,-368,-488,-293,-356,-405,-122,…
U26648_at,768,189,555,575,689,122,376,863,955,386,405,107,701,…
U26710_at,399,357,33,472,304,-92,300,205,319,130,18,18,302,…
U26712_at,-6,-61,-9,-24,26,55,13,-31,-9,2,6,5,2,…
U26726_at,-232,-293,-403,-296,-324,-293,-215,-359,-302,-169,-210,-130,-359,…
U26727_at,294,246,572,383,353,1,292,-154,-209,-83,63,179,224,…
U26914_at,291,164,399,208,182,40,262,104,24,148,180,100,125,…
U27109_at,95,30,122,74,18,-42,26,164,108,49,54,-18,65,…
U27185_at,-1,16,-6,-29,45,1,-21,-50,-50,-3,-20,4,-7,…
U27193_at,-110,1,-94,-92,-68,-67,-109,-44,-85,-80,4,54,-66,…
U27330_at,304,301,289,312,300,266,277,331,255,134,210,202,166,…
U27459_at,64,22,151,149,165,-19,173,139,140,66,67,43,238,…
U27655_at,65,13,-36,-85,157,33,6,-424,111,-144,38,-100,-12,…
U27699_at,-466,-426,-824,-534,-149,-558,-356,-782,-412,-524,-244,-271,-287,…
U27768_at,-39,-24,-52,-30,-163,250,-107,26,-38,-173,-26,35,-127,…
U27831_at,798,317,1194,785,422,595,1065,1217,844,728,750,458,573,…
U28042_at,123,-3,19,170,225,12,55,133,64,9,61,47,237,…
U28043_at,-11,-240,-283,-84,-132,-83,-120,-34,155,-271,-115,-194,-80,…
U28131_at,650,-60,172,712,257,254,267,686,606,-82,232,446,-116,…
U28150_at,-9,45,261,60,-56,30,95,236,46,-25,-24,1,11,…
U28249_at,-105,-124,-206,-92,-66,-94,-110,-284,-170,-129,-98,-114,-83,…
U28251_cds2_at,-128,-89,-356,-149,-114,-160,-126,-208,-181,-167,-146,-116,-177,…
U28281_at,177,-42,331,57,62,-58,99,-146,113,65,257,94,184,…
U28368_at,-20,-73,-4,15,60,-14,89,32,-18,-45,34,-77,-35,…
U28369_at,32,100,107,109,104,184,213,127,135,71,43,171,-16,…
U28386_at,619,922,331,829,1081,161,756,68,884,455,1332,132,658,…
U28413_at,19,-21,68,-6,47,-26,21,-55,-22,45,-21,-58,-2,…
U28686_at,907,1789,910,753,892,558,488,866,1149,1143,2045,987,1055,…
U28687_at,424,322,591,110,175,156,43,698,270,170,281,199,332,…
U28727_at,-724,-615,-873,-851,-289,-665,-719,-1122,-586,-463,-428,-403,-485,…
U28811_at,1188,166,449,872,896,275,134,310,838,-126,380,50,210,…
U28831_at,364,597,691,298,486,444,99,248,413,163,821,117,467,…
U28833_at,215,134,101,244,240,64,166,145,68,48,57,132,466,…
U28963_at,946,416,842,793,798,465,633,446,926,446,758,273,862,…
U29091_at,-327,-153,-301,-196,-208,-284,-341,-83,-348,-143,-125,-189,-189,…
U29171_at,932,1277,962,742,839,521,529,937,682,568,1103,1000,921,…
U29195_at,-77,29,104,-59,15,-5,-157,-161,-31,368,353,-38,-78,…
U29343_at,310,204,234,271,233,-16,124,94,176,148,36,87,211,…
U29589_at,-143,-23,-149,-114,-62,-69,-218,-143,-151,-163,-92,-64,-112,…
U29607_at,7072,6849,8705,6609,3654,5885,7620,8243,4257,3684,4523,4064,5410,…
U29615_at,-179,43,84,115,118,-76,-84,-266,181,497,-162,-25,93,…
U29656_at,345,548,566,611,543,376,572,454,889,486,425,254,304,…
U29680_at,126,712,309,140,79,113,114,238,260,283,163,389,101,…
U29700_at,949,503,831,952,24,481,554,848,741,820,804,382,386,…
U29725_at,-282,62,-166,-148,31,-37,5,-124,107,107,71,-156,22,…
U29953_rna1_at,271,853,516,72,442,293,142,-218,843,270,95,-1,187,…
U30185_at,-360,-252,-411,-419,-159,-359,-438,-694,-303,-334,-300,-241,-288,…
U30245_at,8,15,-20,-62,1,0,-1,-23,-24,-36,-22,-4,-30,…
U30246_at,125,110,147,112,150,64,45,115,229,192,118,74,162,…
U30255_at,273,289,164,483,914,376,184,232,890,487,942,538,523,…
U30313_at,-241,59,-145,-140,111,160,-208,-494,-84,113,-22,-61,-6,…
U30521_at,2191,784,2529,2336,2824,1691,1591,1721,3332,770,703,438,2804,…
U30610_at,316,129,63,310,163,298,184,-43,-10,154,202,73,209,…
U30825_at,2970,2965,2366,1919,2732,2715,1510,2193,4560,1516,2750,1573,2217,…
U30828_at,133,-47,-152,130,-18,23,307,-137,303,-152,-104,-28,118,…
U30872_at,376,129,319,624,311,245,446,355,232,207,163,79,655,…
U30888_at,605,717,661,381,1058,378,492,785,788,417,1533,350,1284,…
U30894_at,-41,93,209,247,203,195,174,-115,156,477,272,145,392,…
U30930_at,48,-45,118,53,84,387,-8,200,12,-78,-55,66,-17,…
U30998_at,131,69,123,230,67,24,63,128,58,39,71,21,109,…
U30999_at,-157,0,160,228,77,3,-8,58,-85,-22,-8,22,70,…
U31099_at,30,131,46,295,6,224,181,89,95,-84,-43,123,-28,…
U31116_at,66,-34,-21,1,-2,-3,3,103,38,25,-5,37,-20,…
U31120_rna1_at,333,203,258,256,193,176,134,200,235,95,214,116,166,…
U31176_at,611,456,709,599,321,423,687,757,432,184,292,209,130,…
U31201_cds1_at,-140,-137,-199,-201,-102,-316,-346,-230,-184,-120,-215,-129,-92,…
U31248_at,259,155,207,172,94,183,225,173,285,202,182,155,59,…
U31342_at,518,607,562,618,376,551,789,605,627,338,370,366,352,…
U31382_at,185,221,655,295,144,309,204,280,431,219,273,135,93,…
U31383_at,395,223,425,293,549,23,210,88,419,247,207,163,1095,…
U31384_at,1094,186,237,169,302,-28,236,1074,-41,138,65,439,383,…
U31449_at,46,-4,-29,-83,-59,-113,62,-103,-89,-70,-46,-116,-10,…
U31501_at,478,237,581,350,236,314,389,452,637,721,436,-12,836,…
U31628_at,-301,-204,-225,-513,-24,-264,-252,-397,-186,-44,-410,-106,-171,…
U31799_at,-70,-95,-132,-204,-92,-195,-82,-23,-144,-124,-118,-34,-225,…
U31814_at,790,420,1223,449,856,471,591,515,1074,485,541,176,1666,…
U31875_at,675,501,886,584,372,261,751,709,525,436,446,280,412,…
U31930_at,2070,1732,3533,1733,2335,2526,1730,1031,4202,4159,2041,1349,2665,…
U31986_at,263,235,238,298,162,430,270,361,407,206,141,376,89,…
U32114_at,74,48,27,76,75,60,26,35,46,71,43,68,25,…
U32315_at,-42,-56,-196,10,-42,-42,42,-1,-63,-80,-48,30,102,…
U32324_at,-9,144,142,4,-31,183,89,272,-11,3,14,34,160,…
U32331_at,18,12,140,71,20,37,104,46,62,10,116,28,32,…
U32376_at,-92,-107,-132,-146,-33,-161,-201,-184,-185,-153,-88,2,-89,…
U32439_at,161,109,225,244,24,232,122,151,237,172,114,22,113,…
U32519_at,643,84,948,747,616,892,332,644,242,396,323,201,548,…
U32576_rna1_at,135,-132,257,-58,135,-167,68,-398,-15,-1,21,33,110,…
U32581_at,304,198,376,339,196,197,285,329,259,148,243,159,206,…
U32645_at,147,-240,-417,-255,72,-245,-152,-568,-363,-194,-365,300,379,…
U32659_at,206,55,280,204,9,144,149,329,135,88,102,149,107,…
U32680_at,218,560,853,921,585,403,1023,380,171,458,147,426,553,…
U32849_at,593,660,628,772,916,394,613,581,747,454,428,247,441,…
U32907_at,-67,-33,-112,-126,-80,-103,-95,-257,-115,-56,-92,-10,-48,…
U32944_at,3349,1002,2089,1625,3502,316,1530,1042,2286,934,282,277,2069,…
U32989_at,-100,-54,-57,-76,-86,-80,-89,-197,-82,-35,-102,-33,-64,…
U33017_at,-953,-348,-704,-346,-330,-352,-633,-856,-540,-336,-378,-403,-541,…
U33053_at,610,889,550,238,338,471,388,230,784,466,798,265,624,…
U33054_at,-333,-73,-91,-80,-56,-110,-6,-89,-74,-60,-106,-119,-222,…
U33147_at,579,1361,701,252,379,156,631,863,413,379,391,50,393,…
U33267_at,41,59,106,87,65,32,87,88,61,79,23,68,66,…
U33286_at,280,190,610,297,1017,273,357,332,713,250,681,112,702,…
U33317_rna1_at,95,112,42,-17,158,136,75,112,109,82,172,50,123,…
U33429_at,-1128,-140,-1267,-1150,124,-796,0,-607,130,-746,-28,-307,23,…
U33447_at,-644,-600,-761,-664,-316,-439,-685,-793,-560,-492,-675,-330,-386,…
U33761_at,-8,35,0,63,201,40,28,56,-71,-15,11,61,51,…
U33818_at,573,552,595,601,1237,449,693,469,727,1285,621,359,577,…
U33821_at,1799,1453,2642,1795,1505,1191,1850,1689,1497,965,1617,467,996,…
U33822_at,-418,-14,369,-358,11,215,-129,-709,468,2,-301,-107,276,…
U33837_at,-67,-87,-195,-87,-9,-48,-126,-68,16,-152,-34,-24,35,…
U33839_at,423,442,660,425,350,439,571,595,455,458,402,281,296,…
U33849_at,-367,-279,-274,-963,-251,-257,-761,-1045,-282,-368,-183,-303,-241,…
U33920_at,229,-72,276,65,50,56,72,250,211,-30,37,86,85,…
U33921_at,138,190,245,180,210,174,131,122,74,77,82,64,127,…
U34038_at,304,447,384,399,232,360,-292,338,387,170,163,291,34,…
U34044_at,349,193,342,401,264,314,193,365,295,125,173,142,195,…
U34252_at,255,519,387,424,536,103,431,559,452,146,403,67,352,…
U34343_at,1389,1849,2887,1048,1529,1168,904,1016,2637,1384,1714,836,922,…
U34360_at,-330,-125,-447,-520,-131,-17,-583,-362,-376,-223,-40,-44,-336,…
U34605_at,267,192,212,187,230,129,95,116,126,99,209,90,168,…
U34683_at,-66,104,-71,-252,139,-202,-189,-361,219,44,2,-33,74,…
U34844_at,140,64,84,77,122,161,97,142,-10,141,73,168,78,…
U34877_at,271,-35,387,28,200,179,0,-110,102,252,133,79,328,…
U34879_rna1_at,-102,-54,-185,-98,-79,-46,-57,-169,-74,-78,-138,-113,-73,…
U34880_at,309,502,565,325,463,519,910,596,1026,444,368,260,385,…
U34962_at,657,390,676,482,340,508,621,854,531,497,449,451,391,…
U34976_at,180,78,144,54,6,126,134,16,76,28,-11,35,31,…
U35048_at,481,1445,629,200,1133,368,156,140,816,2316,1177,265,1104,…
U35100_at,-1807,-1572,-1164,-1843,-896,-2016,-3073,-2557,-1129,-713,-1171,-1266,-535,…
U35113_at,-39,540,-37,344,752,-19,1,-337,421,409,724,-148,753,…
U35139_at,-249,-383,-481,-394,-249,-110,-374,-631,50,-181,-66,-221,-315,…
U35246_at,100,72,181,141,83,-53,164,-23,-55,51,49,96,131,…
U35340_at,-161,-218,-356,-161,-130,-128,-211,-290,-204,-205,-111,-127,-196,…
U35407_at,57,-15,9,-19,58,19,60,-59,-80,-38,11,-50,-20,…
U35451_at,408,633,912,304,398,506,357,134,982,613,745,15,810,…
U35459_at,155,141,231,257,145,67,204,320,143,73,139,125,119,…
U35735_at,-79,45,28,66,43,65,43,46,26,28,35,0,35,…
U36221_at,635,452,617,553,490,451,460,730,174,679,258,275,813,…
U36448_at,-81,-129,-301,-112,-31,-129,-270,-395,-277,-241,-112,-57,-114,…
U36500_at,-48,45,88,-176,-51,-99,-194,-229,-50,-16,-136,-56,15,…
U36501_at,212,58,442,36,142,74,18,127,155,100,84,11,74,…
U36601_at,110,-60,-76,-56,29,-60,20,212,-48,-67,5,-56,-70,…
U36621_cds2_at,-399,-40,-283,-124,-111,-199,-115,-434,-114,-74,-207,-143,-162,…
U36764_at,1024,1985,1236,1187,2133,946,895,763,2011,1326,1441,1188,822,…
U36787_at,359,422,255,285,326,279,268,196,300,471,325,219,429,…
U36798_at,556,207,517,426,151,206,618,560,453,130,264,208,233,…
U36922_at,1036,8,2,130,201,56,10,632,-2,-50,-18,70,1185,…
U37012_at,1901,1018,1594,1107,1421,1470,1500,2475,1041,527,938,853,899,…
U37022_rna1_at,541,378,514,538,871,430,391,536,1181,465,131,255,601,…
U37122_at,3242,605,1244,2299,2085,848,1737,1764,1636,474,361,839,1153,…
U37139_at,362,239,378,363,298,417,336,394,381,231,267,163,309,…
U37143_at,133,47,109,147,16,71,20,107,38,143,10,40,31,…
U37219_at,1293,1277,1714,1110,926,1488,2261,1043,1339,963,746,1164,891,…
U37221_at,-54,-87,-695,-617,-311,-487,-593,-1319,-410,49,-21,-475,21,…
U37248_at,1,436,102,-281,217,231,201,110,144,-15,6,-25,142,…
U37251_at,372,480,525,423,405,416,818,338,575,420,193,308,259,…
U37283_at,41,-59,43,203,-22,-39,-60,-47,-80,-32,-65,-64,3,…
U37352_at,311,121,280,459,348,94,650,268,344,97,150,1,654,…
U37359_at,28,-27,142,84,204,78,87,-7,133,8,85,-25,171,…
U37408_at,476,837,1322,111,467,1058,813,97,2071,202,778,196,1401,…
U37431_at,-71,-35,4,73,-22,7,-75,-47,175,49,-22,1,-60,…
U37518_at,103,264,111,51,117,94,-15,73,-4,-33,-10,-25,37,…
U37519_at,685,-6,344,612,371,236,310,631,590,236,314,208,191,…
U37529_at,5,2,-4,-82,-57,0,-35,76,71,-47,3,17,-20,…
U37547_at,228,143,179,124,457,0,191,37,282,96,378,-37,413,…
U37673_at,-364,-8,-69,-331,-582,37,72,-151,-777,-119,-499,-90,-10,…
U37689_at,888,737,1020,1060,747,997,767,818,1178,718,502,413,582,…
U37690_at,1490,2250,1817,1646,2385,2140,1345,1506,2727,1600,1541,1770,1249,…
U37707_at,612,510,1163,427,604,234,574,442,466,655,350,255,596,…
U38175_at,85,351,143,23,299,90,-28,-164,622,329,59,45,298,…
U38268_at,389,169,380,537,324,446,515,-205,453,208,305,344,241,…
U38372_at,-9,-28,-59,-12,9,-62,21,32,6,-12,-65,-60,-46,…
U38480_at,69,0,-15,-17,96,-16,92,101,2,241,17,-21,93,…
U38545_at,145,75,116,312,261,87,215,178,213,74,2,103,103,…
U38810_at,-46,-41,-90,10,-31,-76,6,-47,-44,-9,-49,-7,-23,…
U38846_at,2170,1407,2049,2703,4006,1250,2145,1295,4201,1612,1850,788,2389,…
U38847_at,220,328,240,483,598,133,1058,754,241,212,183,196,288,…
U38864_at,-1568,-760,-1906,-1526,-313,-1075,-1282,-3045,-1152,-204,-448,-993,-390,…
U38896_at,75,62,21,50,49,106,28,88,22,36,76,-66,75,…
U38904_at,221,344,368,266,232,163,300,403,347,265,281,99,123,…
U38980_at,2063,1638,2512,2396,1240,1582,2394,2494,2112,1690,1635,1096,1138,…
U39196_at,67,-65,65,49,50,14,-50,110,-8,59,79,8,10,…
U39226_at,159,65,-54,42,76,44,-268,-305,-200,36,7,169,-1,…
U39231_at,-63,32,6,-7,-42,-7,15,-5,-20,-48,39,-76,-21,…
U39317_at,1253,632,995,820,1179,752,924,692,1445,775,1081,500,1253,…
U39318_at,1123,2099,2252,1637,1604,1296,1713,1677,2318,1570,2212,883,1429,…
U39400_at,899,408,955,779,620,739,554,745,745,623,831,352,387,…
U39412_at,393,726,748,176,253,380,300,715,207,192,290,160,58,…
U39447_at,-118,-162,-74,-109,34,-117,-215,-148,-235,-131,-9,-58,-86,…
U39487_at,-309,-68,-330,-187,-121,-58,-297,-40,-125,-266,-76,-248,-70,…
U39573_at,147,534,47,166,182,558,45,128,103,-6,170,-70,218,…
U39576_at,-696,-619,-767,-862,-508,-449,-779,-898,-456,-451,-691,-227,-417,…
U39657_at,-68,-81,-117,-67,-70,-126,-127,-149,-62,-65,-101,-68,-82,…
U39817_at,-56,2,-375,181,97,-227,-15,-208,-194,-128,-101,-102,118,…
U39840_at,57,108,101,13,75,128,55,139,99,91,42,70,48,…
U39905_at,427,351,740,516,295,357,452,646,517,314,229,212,225,…
U40038_at,108,116,271,109,235,94,5,55,160,57,138,25,51,…
U40215_at,79,-19,-12,-3,106,-40,105,166,79,88,-68,37,209,…
U40223_at,122,-756,-317,-261,-272,24,-63,-682,-585,-157,-482,114,-19,…
U40282_at,951,417,598,874,919,273,651,725,889,316,400,359,669,…
U40343_at,914,814,1649,1349,1022,174,774,385,1605,1093,960,538,953,…
U40369_rna1_at,372,1188,428,170,354,224,132,185,478,417,479,502,366,…
U40370_at,115,21,15,83,88,-8,-85,10,65,82,36,-40,73,…
U40371_at,159,21,87,105,45,113,149,-5,106,-24,72,63,42,…
U40372_at,-884,-540,-1281,-981,-326,-826,-766,-1634,-753,-573,-501,-596,-608,…
U40380_at,-648,-743,-1195,-898,-306,-697,-396,-1449,-1293,-1084,-618,-648,-469,…
U40391_rna1_at,2030,1314,2389,2047,981,1527,2256,2577,1887,1384,529,1263,1268,…
U40434_at,-173,-163,20,-66,94,-186,-94,-214,-102,-22,1,-100,84,…
U40462_at,859,181,433,678,1086,293,413,407,766,64,506,114,315,…
U40490_at,495,631,561,536,416,881,475,508,969,207,705,166,441,…
U40572_at,154,-50,256,-70,51,243,82,220,58,-68,2,-87,128,…
U40622_at,10,29,67,121,76,49,48,43,-1,-10,32,15,42,…
U40714_at,400,234,274,367,443,266,378,293,481,159,533,166,302,…
U40990_at,797,189,954,176,167,494,406,446,555,471,505,388,218,…
U40992_at,-93,36,-187,-12,-61,112,-210,-115,-174,48,150,76,91,…
U40998_at,783,712,652,1040,499,489,1850,1176,1151,558,615,715,319,…
U41060_at,241,242,378,235,251,80,105,260,296,93,265,109,370,…
U41344_at,-434,160,149,-67,-159,-74,-23,-149,-282,310,-268,-252,-6,…
U41371_at,1149,807,1535,1039,935,1200,954,1161,1729,1344,1514,426,1454,…
U41387_at,216,1003,455,365,1074,199,199,680,523,455,1593,143,880,…
U41515_at,165,286,151,338,827,336,36,155,442,411,531,222,564,…
U41635_at,2044,2317,2255,1753,2590,1696,1792,2544,3485,1374,2048,873,1791,…
U41668_at,272,226,229,312,448,428,273,128,321,608,288,89,210,…
U41737_at,-34,-1,4,110,13,8,-82,-208,-50,18,33,12,6,…
U41745_at,-77,99,31,33,116,48,-5,-26,146,65,95,1,41,…
U41763_at,-793,-724,-794,-556,-385,-485,-774,-1421,-630,-508,-432,-416,-409,…
U41804_at,-71,-799,-1029,359,-418,-581,-900,-424,-3,-364,147,45,-401,…
U41813_at,-55,20,-45,586,15,24,1001,-106,4,7,-12,-67,8,…
U41815_at,45,194,119,17,253,23,63,139,128,65,574,117,260,…
U41816_at,176,53,319,266,236,199,-55,241,143,37,247,126,245,…
U41898_at,-339,-257,-504,-282,-226,-286,-331,-473,-348,-161,-200,-290,-363,…
U42031_at,332,99,382,434,1692,428,1868,-227,1111,432,237,143,269,…
U42359_at,78,-35,87,44,-19,71,-20,14,73,7,55,-12,-7,…
U42360_cds2_at,-303,-144,-201,-176,-206,-48,-146,-184,227,-86,-111,-183,-120,…
U42387_at,-174,-139,-271,-167,-46,-170,-168,-206,-111,-73,-100,-86,-12,…
U42390_at,-181,-199,-662,-515,-188,-373,-483,-406,-473,-340,-395,-270,-169,…
U42408_at,71,-103,229,-295,42,-138,-819,335,159,-22,-77,-461,13,…
U42412_at,997,863,1367,1039,1048,801,1166,1107,1228,751,758,491,484,…
U43030_at,914,272,1464,510,400,627,890,598,654,724,380,196,400,…
U43077_at,1174,1094,1271,855,1053,697,1021,718,1247,1004,1036,546,878,…
U43083_at,333,234,895,230,372,528,289,424,504,159,363,173,69,…
U43142_at,-491,-219,-502,-539,-256,-344,-458,-332,-269,-291,-308,-241,-396,…
U43148_at,1467,1181,1645,782,532,659,1601,1818,696,748,1120,616,683,…
U43177_at,417,344,940,103,170,288,314,439,287,187,225,-12,278,…
U43279_at,-7,107,77,116,-5,104,92,19,-22,66,67,81,30,…
U43286_at,563,714,614,578,654,254,589,512,324,561,646,285,864,…
U43292_at,205,109,213,131,102,220,136,145,92,187,146,165,112,…
U43318_at,297,29,-15,232,69,204,179,44,-104,141,210,53,47,…
U43328_at,8,21,90,46,-9,46,25,64,24,-22,4,-7,8,…
U43374_at,113,116,352,231,132,160,166,170,256,152,95,160,91,…
U43408_at,38,-11,33,-108,-107,-85,115,-46,6,25,-19,50,-62,…
U43431_at,-408,-325,133,-400,-222,-346,-823,-493,-309,-173,-269,-192,-62,…
U43519_at,319,253,-188,223,147,352,189,-46,86,138,72,294,-132,…
U43522_at,1842,744,304,2362,1583,563,1095,328,325,138,412,472,2105,…
U43527_at,864,502,758,609,550,453,599,1122,706,309,470,336,437,…
U43586_at,-7,4,-232,-130,-70,51,114,743,469,15,-16,100,-1,…
U43672_at,-67,28,-72,-107,37,-44,-119,-164,-58,-57,-2,11,-24,…
U43753_cds2_at,219,248,406,286,256,151,347,344,263,202,255,195,281,…
U43843_at,-65,-317,-87,-78,-42,-14,-132,110,-63,25,46,-5,-5,…
U43885_at,341,65,62,290,108,1,129,317,96,56,49,57,142,…
U43899_at,64,152,268,59,106,48,28,20,178,234,590,96,165,…
U43923_at,1109,792,1384,821,708,798,1063,1133,1222,1065,677,589,1152,…
U43959_at,-286,-291,-424,-427,-197,-296,-347,-328,-206,-298,-249,-261,-220,…
U43965_at,423,253,371,295,184,309,347,440,261,183,172,137,149,…
U44059_at,1045,914,1184,744,711,389,1426,1187,840,1089,691,547,754,…
U44060_at,-200,-47,-216,-90,-38,-64,-114,-116,-118,-50,-84,-51,-71,…
U44111_at,35,56,-6,-18,23,-42,1,73,57,53,-2,8,14,…
U44378_at,138,114,159,128,234,184,218,137,151,80,168,79,305,…
U44429_at,-239,-60,-117,-147,-10,-103,-84,-287,-114,-89,-172,-66,-109,…
U44754_at,166,219,215,191,151,48,136,131,110,175,118,53,231,…
U44755_at,513,555,732,631,253,846,709,869,870,507,465,362,238,…
U44772_at,198,719,452,173,370,218,302,223,872,449,448,176,436,…
U44839_at,4819,4231,5749,5135,3116,4125,5237,6749,4630,4263,3880,1964,6131,…
U44848_at,271,233,257,269,89,243,315,404,280,137,473,60,294,…
U44975_at,1641,5314,1040,608,2323,1426,388,1481,1694,2165,3339,2918,2705,…
U45285_at,1545,125,1786,24,350,1038,220,-344,769,601,306,63,69,…
U45880_at,262,56,208,63,59,113,43,322,88,-7,112,-93,15,…
U45955_at,58,-4,45,248,198,-32,136,179,25,60,25,10,43,…
U45973_at,902,1332,991,1121,1031,1077,598,1817,1601,932,1159,982,790,…
U45974_at,1252,1131,1227,1218,785,841,1119,1263,1011,787,886,527,574,…
